Região,Área,Pagamento,Opinião,Renda,Idade
Aratibutantã,Engenharia e Produção,Bolsas de estudo,Indiferente,2.34,36
Baependinha,Jurídica e Contábil,Recursos próprios,Satisfeito,2.19,35
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Insatisfeito,2.93,35
Baependinha,Administração,Financiamento bancário,Satisfeito,1.68,28
Baependinha,Engenharia e Produção,Recursos próprios,Indiferente,1.91,32
Aratibutantã,Jurídica e Contábil,Financiamento bancário,Insatisfeito,2.72,33
Baependinha,Engenharia e Produção,Auxílio de familiares,Satisfeito,1.43,35
Aratibutantã,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,3.91,37
Aratibutantã,Jurídica e Contábil,Recursos próprios,Insatisfeito,2.48,33
Baependinha,Jurídica e Contábil,Auxílio de familiares,Indiferente,2.25,32
Itamaracanã,Jurídica e Contábil,Financiamento bancário,Muito satisfeito,1.13,26
Baependinha,Humanidades,Financiamento bancário,Muito satisfeito,1.21,30
Baependinha,Jurídica e Contábil,Recursos próprios,Muito satisfeito,1.51,33
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,4.43,41
Jaquereçaba,Jurídica e Contábil,Incenti ,Insatisfeito,2.52,35
Baependinha,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.5,27
Aratibutantã,Engenharia e Produção,Financiamento bancário,Insatisfeito,2.57,35
Itamaracanã,Educacional,Financiamento bancário,Muito satisfeito,1.17,32
Baependinha,Engenharia e Produção,Bolsas de estudo,Muito satisfeito,1.29,29
Aratibutantã,Jurídica e Contábil,Financiamento bancário,Indiferente,3.06,36
Itamaracanã,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.07,28
Jaquereçaba,Engenharia e Produção,Incentivos federais, ,4.97,40
Baependinha,Humanidades,Financiamento bancário,Muito satisfeito,1.13,24
Itamaracanã,Computação e Matemática,Financiamento bancário,Muito satisfeito,1.05,25
Baependinha,Administração,Incentivos federais,Satisfeito,1.87,36
Jaquereçaba,Engenharia e Produção,Incentivos federais,Indiferente,2.55,37
Itamaracanã,Jurídica e Contábil,Financiamento bancário,Muito satisfeito,1.56,30
Itamaracanã,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.13,25
Baependinha,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.39,29
Baependinha,Computação e Matemática,Recursos próprios,Muito satisfeito,1.27,28
Itamaracanã,Engenharia e Produção,Bolsas de estudo,Satisfeito,1.84,36
Itamaracanã,Administração,Financiamento bancário,Muito satisfeito,1.1,24
Paranapitanga,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,7.91,44
Baependinha, ,Financiamento bancário,Muito satisfeito,1.21,29
Baependinha,Administração,Financiamento bancário,Muito satisfeito,1.13,30
Jaquereçaba,Engenharia e Produção,Bolsas de estudo,Indiferente,1.97,33
Itamar ,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.09,23
Aratibu ,Computação e Matemática,Recursos próprios,Satisfeito,1.31,30
Baependinha,Administração, ,Satisfeito,1.98,31
Aratibutantã,Jurídica e Contábil,Bolsas de estudo,Indiferente,2.97,38
Baependinha,Engenharia e Produção,Recursos próprios,Satisfeito,1.22,25
Baependinha,Educacional,Financiamento bancário,Muito satisfeito,1.27,29
Itamaracanã,Administração,Financiamento bancário,Muito satisfeito,1.4,31
Itamaracanã,Humanidades,Financiamento bancário,Muito sa ,1.21,27
Itamaracanã,Administração,Financiamento bancário,Muito satisfeito,1.3,31
Baepe ,Engenharia e Produção,Financiamento bancário,Satisfeito,1.72,28
Paranapitanga,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,5.25,42
Itamaracanã,Humanidades,Financiamento bancário,Muito satisfeito,1.12,29
Aratibutantã,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,3.56,35
Baependinha,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.23,32
Baependinha,Educacional,Financiamento bancário,Muito satisfeito,1.24,28
Baependinha,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.21,28
Itama ,Humanidades,Financiamento bancário,Muito satisfeito,1.23,33
Baependinha,Jurídica e Contábil,Financiamento bancário,Satisfeito,1.93,34
Baependinha,Engen ,Financiamento bancário,Satisfeito,1.59,32
Baependinha,Jurídica e Contábil,Bolsas de estudo,Indiferente,2,37
Aratibutantã,Jurídica e Contábil,Incentivos federais,Insatisfeito,3.58,34
Baependinha,Engenharia e Produção,Financiamento bancário,Satisfeito,1.53,29
Baependinha,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.6,33
Itamaracanã,Engenharia e Produção,Auxílio de familiares,Satisfeito,1.55,40
Aratibutantã,Jurídica e Contábil,Financiamento bancário,Insatisfeito,1.77,34
Baependinha,Humanidades,Financiamento bancário,Muito satisfeito,1.22,31
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,3.39,35
Baependinha,Jurídica e Contábil,Financiamento bancário,Satisfeito,1.79,30
Baependinha,Engenharia e Produção,Financia ,Muito satisfeito,1.58,28
Aratibutantã,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,3.65,37
Aratibutantã,Engenharia e Produção,Incentivos federais,Indiferente,2.1,31
Baependinha,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.48,30
Aratibutantã,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,2.89,36
Baependinha,Educacional,Financiamento bancário,Indiferente,1.68,34
Aratibutantã,Administração,Incentivos federais,Indiferente,1.54,27
Itamaracanã,Educacional,Financiamento bancário,Muito satisfeito,1.29,24
Aratibutantã,Jurídica e Contábil,Financiamento bancário,Indiferente,2.4,28
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,4.19,42
Baependinha,Administração,Financiamento bancário,Satisfeito,1.28,31
Baependinha,Engenharia e Produção,Recursos próprios,Muito satisfeito,1.22,31
Baependinha,Engenhar ,Incentivos federais,Satisfeito,2.18,34
Baependinha,Administração,Incentivos federais,Insatisfeito,2.4,32
Itamaracanã,Administração,Financiamento bancário,Muito sa ,1.08,28
Baependinha,Administração,Incentivos federais,Indiferente,2.26,34
Baependinha,Humanidades,Financiamento bancário,Muito satisfeito,1.2,26
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,5.67,36
Aratibutantã,Jurídica e Contábil,Auxílio de familiares,Insatisfeito,2.84,31
Aratibutantã,Engenharia e Produção,Recursos próprios,Satisfeito,2.13,66
Aratibutantã,Administração,Financiamento bancário,Satisfeito,2.68,32
Aratibutantã,Engenharia e Produção,Auxílio de familiares,Indiferente,3.52,39
Aratibutantã,Humanidades,Incentivos federais,Indifer ,2.08,35
Baependinha,Jurídica e Contábil,Incentivos federais,Satisfeito,1.62,26
Baependinha,Humanidades,Financiamento bancário,Muito satisfeito,1.28,28
Aratib ,Engenharia e Produção,Recursos próprios,Indiferente,3.24,31
Itamaracanã,Educacional,Financiamento bancário,Muito satisfeito,1.01,22
Baependinha,Administração,Incentivos federais,Muito satisfeito,2.09,38
Paranapitanga,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,8.56,39
Baependinha,Engenharia e Produção,Financiamento bancário,Satisfeito,1.19,27
Aratibutantã,Jurídica e Contábil,Incentivos federais,Insatisfeito,3.26,39
Baependinha,Engenharia e Produção,Bolsas de estudo,Indiferente,2.67,32
Aratibutantã,Computação e Matemática,Recursos próprios,Satisfeito,2.26,26
Baependinha,Jurídica e Contábil,Financiamento bancário,Indiferente,1.51,33
Baependinha,Administração,Financiamento bancário,Muito satisfeito,1.68,25
Aratibutantã,Jurídica e Contábil,Incentivos federais,Indiferente,1.93,33
Aratibutantã,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,4.24,42
Baependinha,Administração,Recursos próprios,Muito satisfeito,1.78,33
Aratibutantã,Engenharia e Produção,Recursos próprios,Indiferente,2.63,36
Paranapitanga,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,5.7,42
Paranapitanga,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,8.39,42
Itamaracanã,Educacional,Financiamento bancário,Muito satisfeito,1.22,33
Baependinha,Computação e Matemática,Financiamento bancário,Muito satisfeito,1.41,35
Itamaracanã,Computação e Matemática,Recursos próprios,Muito satisfeito,1.21,39
Baependinha,Educacio ,Financiamento bancário,Muito satisfeito,1.15,29
Baependinha,Jurídica e Contábil,Bolsas de estudo,Satisfeito,1.71,32
Jaquereçaba,Jurídica e Contábil,Financiamento bancário,Indiferente,5.31,36
Baepe ,Educacional,Financiamento bancário,Muito satisfeito,1.28,32
Aratibutantã,Administração,Recursos próprios,Satisfeito,2.34,31
Baependinha,Educacional,Financiamento bancário,Satisfeito,2.1,33
Itamaracanã,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.37,30
Aratibutantã,Jurídica e Contábil,Incentivos federais,Insatisfeito,3.58,37
Aratibutantã,Engenharia e Produção,Recursos próprios,Indiferente,2.31,36
Baependinha,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.08,19
Itamaracanã,Humanidades,Financiamento bancário,Muito satisfeito,2.02,22
Baependinha,Administração,Financiamento bancário,Muito satisfeito,1.04,18
Itamaracanã,Administração,Financiamento bancário,Muito satisfeito,1.3,26
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,6.74,42
Aratibutantã,Engenharia e Produção,Incentivos federais, ,4.4,35
Aratibutantã,Humanidades,Auxílio de familiares,Satisfeito,2.18,39
Baependinha,Educacional,Financiamento bancário,Muito satisfeito,1.09,31
Aratibutantã,Engenharia e Produção,Bolsas de estudo,Indiferente,2.36,34
Baependinha,Administração,Auxílio de familiares,Muito satisfeito,1.41,64
 ,Educacional,Financiamento bancário,Muito satisfeito,1.03,23
Baependinha,Engenharia e Produção,Incentivos federais,Insatisfeito,3.1,32
Aratibutantã,Jurídica e Contábil,Incentivos federais,Insatisfeito,4.22,40
Aratibutantã,Jurídica e Contábil,Incentivos federais,Insatisfeito,3.39,32
Aratibutantã,Jurídica e Contábil,Bolsas de estudo,Insatisfeito,4.06,36
Aratibutantã,Jurídica e Contábil,Incentivos federais,Insatisfeito,3.47,37
Itamaracanã,Administração,Financiamento bancário,Muito satisfeito,1.56,36
Baependinha,Engenharia e Produção,Financiamento bancário,Satisfeito,2.13,35
Aratibutantã,Engenharia e Produção,Recursos próprios,Muito satisfeito,1.41,26
Baepe ,Engenharia e Produção,Recursos próprios,Satisfeito,1.68,30
Baependinha,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.13,26
Baependinha,Jurídica e Contábil,Financiamento bancário,Satisfeito,1.37,30
Itamaracanã,Educacional,Financiamento bancário,Muito satisfeito,1.02,23
Aratibutantã,Engenharia e Produção,Incentivos federais,Insatisfeito,4.97,37
Baependinha,Administração,Financiamento bancário,Satisfeito,1.51,24
Baependinha,Humanidades,Financiamento bancário,Muito satisfeito,1.57,23
Baependinha,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.31,23
Aratibutantã,Jurídica e Contábil,Incentivos federais,Insatisfeito,4.32,37
Baependinha,Jurídica e Contábil,Bolsas de estudo,Satisfeito,2.68,39
Baependinha,Jurídica e Contábil,Incentivos federais,Satisfeito,1.22,32
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,3.12,42
Aratibutantã,Jurídica e Contábil,Incentivos federais,Insatisfeito,2.97,38
Aratibutantã,Engenharia e Produção,Recursos próprios,Indiferente,2.42,32
Baependinha,Jurídica e Contábil,Financiamento bancário,Satisfeito,1.61,32
Baependinha,Engenharia e Produção,Financiamento bancário,Indiferente,2.12,62
Baependinha,Humanidades,Financiamento bancário,Satisfeito,1.67,38
Baependinha,Humanidades,Financiamento bancário,Muito satisfeito,1.3,27
Itamaracanã,Humanidades,Financiamento bancário,Muito satisfeito,1.36,34
Baependinha,Humanidades,Financiamento bancário,Muito satisfeito,1.38,27
Jaquereçaba,Engenharia e Produção,Incentiv ,Indiferente,2.19,31
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Insatisfeito,6.85,39
Aratibutantã,Engenharia e Produção,Auxílio de familiares,Insatisfeito,2.26,31
Baependinha,Educacional,Financiamento bancário,Muito satisfeito,1.34,27
Baependinha,Engenharia e Produção,Incentivos federais,Indiferente,2.75,41
Baependinha,Administração,Financiamento bancário,Muito satisfeito,1.23,24
Baependinha,Administ ,Financiamento bancário,Satisfeito,1.41,33
Itamaracanã,Humanidades,Financiamento bancário,Muito satisfeito,1.01,30
Jaquereçaba,Jurídica e Contábil,Auxílio de familiares,Indiferente,4.27,38
Aratibutantã,Jurídica e Contábil,Incentivos federais,Insatisfeito,4.48,35
Baependinha,Engenharia e Produção,Financiamento bancário,Satisfeito,1.39,27
Itamaracanã,Computação e Matemática,Financiamento bancário,Muito satisfeito,1.28,22
Baependinha,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.48,31
Aratibutantã,Engenharia e Produção,Recursos próprios,Satisfeito,1.82,29
Baependinha,Administração,Recursos próprios,Indiferente,2.19,36
Baependinha,Humanidades,Bolsas de estudo,Muito satisfeito,1.29,27
Itamaracanã,Administração,Financiamento bancário,Muito satisfeito,1.05,23
Baependinha,Administração,Financiamento bancário,Muito satisfeito,1.48,30
Aratibutantã,Jurídica e Contábil,Auxílio de familiares,Indiferente,2.49,39
Jaquere ,Jurídica e Contábil,Recursos próprios,Indiferente,2.21,29
Paranapitanga,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,4.51,41
Aratibutantã,Engenharia e Produção,Incentivos federais,Indiferente,3.06,29
Baependinha,Educacional,Financiamento bancário,Muito satisfeito,1.14,26
Baependinha,Engenharia e Produção,Recursos próprios,Indiferente,2.09,34
Itamaracanã,Engenharia e Produção,Financiamento bancário,Satisfeito,1.28,36
Jaquereçaba,Jurídica e Contábil,Financiamento bancário,Muito insatisfeito,3.86,37
Aratibutantã,Engenharia e Produção,Incen ,Insatisfeito,3.34,36
Baependinha,Computação e Matemática,Financi ,Muito satisfeito,1.4,30
Jaquere ,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,7.65,44
Baependinha,Engenharia e Produção,Incentivos federais,Muito satisfeito,1.74,34
Baependinha,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.79,37
Baependinha,Administração,Financia ,Satisfeito,1.43,29
Aratibutantã,Computação e Matemática,Recursos próprios,Indifer ,2.79,33
Baependinha,Engenharia e Produção,Auxílio de familiares,Insatisfeito,2.6,38
Itamaracanã,Adminis ,Financiamento bancário,Muito satisfeito,1.19,34
Baependinha,Engenharia e Produção,Financiamento bancário,Satisfeito,6,33
Baependi ,Humanidades,Financiamento bancário,Indiferente,2.19,32
Aratibutantã,Engenharia e Produção,Incentivos federais,Insatisfeito,3.96,32
Baependinha,Administração,Recursos próprios,Insatisfeito,2.79,38
Baependinha,Humanidades,Financiamento bancário,Satisfeito,1.69,30
Aratibutantã,Humanidades,Recursos próprios,Satisfeito,1.94,29
Jaquereçaba,Jurídica e Contábil,Bolsas de estudo,Insatisfeito,3.26,40
Baependinha,Humanidades,Financiamento bancário,Muito satisfeito,1.2,22
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,6.89,39
Baependinha,Jurídica e Contábil,Financiamento bancário,Muito satisfeito,1.54,29
Baependinha,Administração,Financiamento bancário,Muito satisfeito,1.41,29
Jaquereçaba,Engenharia e Produção,Recursos próprios,Insatisfeito,2.25,33
Itamaracanã,Humanidades,Financiamento bancário,Muito satisfeito,1.17,29
Aratibutantã,Engenharia e Produção,Bolsas de estudo,Insatisfeito,2.95,37
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Insatisfeito,4.85,35
Aratibutantã,Jurídica e Contábil,Incentivos federais,Insatisfeito,2.3,34
Itamaracanã,Administração,Financiamento bancário,Muito satisfeito,1.03,36
Aratibutantã,Jurídica e Contábil,Recursos próprios,Indiferente,2.12,34
Baependinha,Jurídica e Contábil,Auxílio de familiares,Muito satisfeito,1.7,33
Baependinha,Humanidades,Financiamento bancário,Muito satisfeito,1.15,27
Jaquereç ,Engenharia e Produção,Auxílio de familiares,Insatisfeito,2.75,37
Baependinha,Humanidades,Financiamento bancário,Muito satisfeito,1.3,25
Baependinha,Computação e Matemática,Bolsas de estudo,Satisfeito,1.72,37
Aratibutantã,Engenharia e Produção,Recursos próprios,Indiferente,2.89,32
Baependinha,Engenharia e Produção,Financiamento bancário,Satisfeito,1.65,31
Paranapitanga,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,6.12,42
Baependinha,Administração,Incentivos federais,Muito sa ,17.6,34
Baepen ,Jurídica e Contábil,Financiamento bancário,Satisfeito,1.7,37
Baependinha,Administração,Bolsas de estudo,Satisfeito,2.23,39
Itamaracanã,Computação e Matemática,Financiamento bancário,Muito satisfeito,1.05,24
Aratibutantã,Jurídica e Contábil,Recursos próprios,Indiferente,2.43,36
Baependinha,Computação e Matemática,Financiamento bancário,Muito satisfeito,1.36,28
Aratibutantã,Jurídica e Contábil,Incentivos federais,Insatisfeito,3.94,40
 ,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,3.89,40
Baependinha,Humanidades,Financiamento bancário,Muito satisfeito,1.14,27
Baependinha,Jurídica e Contábil,Incentivos federais,Insatisfeito,2.6,38
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Insatisfeito,4.24,37
Itamaracanã,Educacional,Financiamento bancário,Muito satisfeito,4.04,21
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,3.77,37
Aratibutantã,Jurídi ,Incentivos federais,Insatisfeito,2.62,32
Aratibutantã,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,3.65,35
Aratibutantã,Engenharia e Produção,Bolsas de estudo,Insatisfeito,3.39,35
Baependinha,Administração,Financiamento bancário,Satisfeito,1.81,31
Aratibutantã,Jurídica e Contábil,Bolsas de estudo,Insatisfeito,2.37,39
Baependinha,Humanidades,Financiamento bancário,Muito satisfeito,1.31,30
Jaquereçaba,Engenharia e Produção,Incentivos federais,Indiferente,2.72,30
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,5.31,37
Baependinha,Engenharia e Produção,Recursos próprios,Muito satisfeito,1.37,34
Baependinha,Jurídica e Contábil,Recursos próprios,Insatisfeito,1.82,36
Aratibutantã,Jurídica e Contábil,Incentivos federais,Indiferente,2.7,32
Baependinha,Humanidades,Bolsas de estudo,Muito satisfeito,1.25,33
Itamaracanã,Educacional,Financiamento bancário,Muito satisfeito,1.06,28
Baependinha,Computação e Matemática,Financiamento bancário,Muito satisfeito,1.11,25
Baependinha,Engenharia e Produção,Recursos próprios,Satisfeito,1.56,32
Baependinha,Jurídica e Contábil,Financiamento bancário,Satisfeito,1.66,26
Itamaracanã,Educacional,Recursos próprios,Muito satisfeito,1.06,25
Baependinha,Administração,Incentivos federais,Satisfeito,2.12,41
Aratibutantã,Jurídica e Contábil,Incentivos federais,Insatisfeito,4.46,38
Baependinha,Engenharia e Produção,Auxílio de familiares,Indiferente,1.96,34
Jaquereçaba,Engenharia e Produção,Incentivos federais,Insatisfeito,5.31,39
Itamar ,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.25,30
Baependinha,Administração,Financiamento bancário,Muito satisfeito,1.26,34
Jaquereçaba,Jurídica e Contábil,Recursos próprios,Insatisfeito,3.39,31
Baependinha,Engenharia e Produção,Auxílio de familiares,Indiferente,2.07,36
Itama ,Educacional,Financiamento bancário,Muito satisfeito,1.27,30
Baependinha,Engenharia e Produção,Recursos próprios,Indiferente,1.79,34
Baependinha,Engenharia e Produção,Financiamento bancário,Satisfeito,1.7,31
Baepen ,Humanidades,Auxílio de familiares,Satisfeito,2.59,34
Jaquereçaba,Engenharia e Produção,Incentivos federais,Muito insatisfeito,3.65,35
Itamaracanã,Educacional,Financiamento bancário,Muito satisfeito,1.39,28
Baependinha,Administração,Recursos próprios,Satisfeito,1.97,33
Aratibutantã,Engenharia e Produção,Recursos próprios,Indiferente,2.39,34
Jaquer ,Engenharia e Produção,Auxílio de familiares,Insatisfeito,3.08,37
Jaquereçaba,Jurídica e Contábil,Bolsas de estudo,Muito insatisfeito,6.4,46
Baependinha,Jurídica e Contábil,Financiamento bancário,Indiferente,3.02,29
Baependinha,Humanidades,Recursos próprios,Muito satisfeito,1.27,30
Baependinha,Administração,Financiamento bancário,Muito satisfeito,1.21,23
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Insatisfeito,3.3,37
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,7.7,46
Itamaracanã,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.16,23
Aratibutantã,Administração,Financiamento bancário,Satisfeito,2.15,27
Baependinha,Educacional,Financiamento bancário,Muito satisfeito,1.11,25
Aratibutantã,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,2.93,42
Baependinha,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.34,26
Itamaracanã,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.12,31
Baependinha,Engenharia e Produção,Financiamento bancário,Satisfeito,1.25,26
Aratibutantã,Administração,Incentivos federais,Insatisfeito,2.29,34
Baependinha,Jurídica e Contábil,Recursos próprios,Indiferente,1.72,31
Baependinha,Humanidades,Recursos próprios,Muito satisfeito,1.41,28
Baependinha,Jurídica e Contábil,Financiamento bancário,Satisfeito,1.45,26
Aratibutantã,Engenharia e Produção,Incentivos federais,Insatisfeito,3.86,40
Baependinha,Computação e Matemática,Auxílio de familiares,Satisfeito,1.57,29
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Insatisfeito,3.16,35
Itamaracanã,Humanidades,Auxílio de familiares,Satisfeito,1.45,36
Baependinha,Administração,Recursos próprios,Muito satisfeito,1.67,34
Baependinha,Jurídica e Contábil,Financiamento bancário,Muito satisfeito,1.74,30
Itamaracanã,Engenharia e Produção,Incentivos federais,Muito satisfeito,1.78,36
Baependinha,Administração,Financiamento bancário,Muito satisfeito,1.42,27
Aratibutantã,Engenharia e Produção,Financiamento bancário,Satisfeito,2.29,33
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,4.74,40
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,11.6,43
Baependinha,Engenharia e Produção,Bolsas de estudo,Indiferente,1.73,33
Baependinha,Engenharia e Produção,Financiamento bancário,Satisfeito,1.41,34
Jaquereçaba, ,Incentiv ,Muito insatisfeito,4.35,44
Baependinha,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.65,29
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Insatisfeito,3.12,28
Baependinha,Engenharia e Produção,Recursos próprios,Satisfeito,2.03,39
Paranapitanga,Jurídica e Contábil, ,Muito insatisfeito,8.93,36
Baependinha,Engenharia e Produção,Incentivos federais,Indiferente,2.75,41
Itamaracanã,Administração,Financiamento bancário,Muito satisfeito,1.09,25
Aratibutantã,Administração,Financiamento bancário,Satisfeito,1.51,37
Aratibutantã,Jurídica e Contábil,Recursos próprios,Indiferente,1.97,31
Itamaracanã,Engenharia e Produção,Recursos próprios,Muito satisfeito,1.48,30
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,3.63,37
Baependinha,Engenharia e Produção,Recursos próprios,Muito satisfeito,3.4,33
Baependinha,Humanidades,Financiamento bancário,Muito satisfeito,1.12,26
Aratibutantã,Engenharia e Produção,Recursos próprios,Insatisfeito,2.03,38
Aratibutantã,Engenharia e Produção,Incentivos federais,Insatisfeito,2.59,37
Aratibutantã,Engenharia e Produção,Incentivos federais,Indiferente,2.08,32
Baependinha,Computação e Matemática,Financiamento bancário,Satisfeito,1.56,32
Itamaracanã,Educacional,Financiamento bancário,Muito satisfeito,1.12,31
Aratibutantã,Computação e Matemática,Recursos próprios,Indiferente,2.73,33
Baependinha,Administração,Financiamento bancário,Muito satisfeito, ,27
Aratibutantã,Jurídica e Contábil,Bolsas de estudo,Insatisfeito,2.51,33
Itamaracanã,Humanidades,Financiamento bancário,Muito satisfeito,1.16,27
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,2.91,36
Itamaracanã,Educacional,Financiamento bancário,Muito satisfeito,3.4,28
Baependinha,Jurídica e Contábil,Financiamento bancário,Satisfeito,1.63,30
Arati ,Engenharia e Produção,Incentivos federais,Insatisfeito,3.02,34
Itamaracanã,Administração,Financiamento bancário,Muito satisfeito,1.11,24
Baependinha,Engenharia e Produção,Financiamento bancário,Satisfeito,1.47,30
Itamaracanã,Engenharia e Produção,Recursos próprios,Muito satisfeito,1.43,33
Baependinha,Jurídica e Contábil,Recursos próprios,Insatisfeito,2.4,39
Paranapitanga,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,7.21,39
Baependinha,Administração,Recursos próprios,Muito satisfeito,1.51,29
Itamaracanã,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.2,30
Baependinha,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.27,32
Aratibutantã,Computação e Matemática,Financiamento bancário,Satisfeito,2.22,34
Aratibutantã,Engenharia e Produção,Financiamento bancário,Indiferente,2.88,31
Itamaracanã,Engenharia e Produção,Recursos próprios,Satisfeito,1.34,28
Baependinha,Administração,Financiamento bancário,Muito satisfeito,1.84,27
Itamaracanã,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.27,24
Itamaracanã,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.19,31
Jaquereçaba,Jurídica e Contábil,Bolsas de estudo,Indiferente,3.82,36
Baependinha,Engenharia e Produção,Financiamento bancário,Muito satisfeito,2.22,22
Itamaracanã,Humanidades,Financiamento bancário,Muito satisfeito,1.07,25
Baependinha,Engenharia e Produção,Financiamento bancário,Satisfeito,1.36,33
Baependinha,Engenharia e Produção,Financiamento bancário,Satisfeito,1.95,29
Baependinha,Engenharia e Produção,Recursos próprios,Muito satisfeito,1.76,34
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,3.77,43
Jaquer ,Administração,Financiamento bancário,Satisfeito,1.48,30
Baependinha,Jurídica e Contábil,Recursos próprios,Insatisfeito,2.82,36
Baependinha,Jurídica e Contábil,Recursos próprios,Satisfeito,2.75,35
Baependinha,Engenharia e Produção,Financiamento bancário,Satisfeito,2.19,32
Itamaracanã,Administração,Financiamento bancário,Muito satisfeito,1.2,28
Jaquereçaba,Jurídica e Contábil,Recursos próprios,Insatisfeito,3.65,40
Baependinha,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.46,29
Aratibutantã,Jurídica e Contábil,Incentivos federais,Indiferente,2.08,37
Baependinha,Jurídica e Contábil,Bolsas de estudo,Indiferente,1.92,30
Aratibutantã, ,Incentivos federais,Indiferente,1.9,36
Aratibutantã,Engenharia e Produção,Auxílio de familiares,Indiferente,2.49,32
Aratibutantã,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,4.01,44
Baependinha,Engenharia e Produção,Recursos próprios,Indiferente,2.21,31
Baependinha,Jurídica e Contábil,Financiamento bancário,Satisfeito,2.54,31
Paranapitanga,Jurídica e Contábil,Auxílio de familiares,Muito insatisfeito,6.66,36
Aratibutantã,Jurídica e Contábil,Financiamento bancário,Insatisfeito,1.93,37
Baependinha,Engenharia e Produção,Recursos próprios,Satisfeito,2.45,32
Baepend ,Engenharia e Produção,Recursos próprios,Satisfeito,2.05,34
Aratibutantã,Engenharia e Produção,Financiamento bancário,Satisfeito,2.43,35
Baependinha,Engenharia e Produção,Financiamento bancário,Satisfeito,1.57,28
Baependinha,Administração,Financiamento bancário,Muito satisfeito,1.13,21
Baependinha,Administração,Recursos próprios,Satisfeito,1.92,30
Baependinha,Jurídica e Contábil,Recur ,Muito satisfeito,1.2,30
